TLR (100),RPC (100),GO (100),OI (100),PERCEPTION (100)
95.47,96.43,81.92,62.44,100.00
91.76,95.82,80.97,66.39,98.63
89.32,92.56,79.71,53.68,92.88
86.71,83.13,89.79,55.96,87.05
80.51,88.59,83.01,58.46,88.50
79.28,78.13,90.74,63.36,63.59
79.25,70.32,84.63,59.83,60.58
82.60,56.90,72.54,56.58,66.70
70.00,54.63,78.13,61.35,69.32
73.15,50.17,78.62,64.54,50.18
69.29,65.53,73.12,54.62,35.36
61.41,69.70,67.01,59.84,49.73
76.22,55.89,71.57,55.76,30.29
67.40,51.62,79.07,55.80,49.96
75.45,54.62,72.56,45.67,21.98
69.63,59.01,59.56,56.68,35.04
54.82,60.61,76.88,43.00,48.82
66.29,50.06,58.60,50.87,65.95
81.35,34.08,69.10,62.78,33.74
62.21,56.58,72.53,50.72,28.08
76.49,44.92,63.77,53.22,28.83
82.10,35.05,57.31,62.64,39.87
67.88,39.60,74.47,55.52,40.72
64.89,51.54,68.52,56.05,25.35
68.00,34.63,77.94,63.52,37.53
62.96,39.96,79.57,55.73,39.87
66.13,47.54,64.47,49.70,42.36
75.09,37.81,66.44,55.62,29.93
69.23,42.64,68.37,56.43,26.15
66.19,46.05,70.66,53.53,17.84
68.46,57.24,52.38,56.94,9.87
75.76,34.28,70.16,65.14,12.15
60.27,50.00,72.96,54.71,13.24
60.31,50.91,67.01,60.90,13.24
71.79,50.09,56.66,40.38,20.65
66.23,31.79,73.63,58.61,39.59
70.69,43.21,62.04,57.79,15.86
71.47,37.62,67.55,57.06,12.70
69.99,29.98,70.72,76.68,13.24
77.49,23.18,61.09,65.27,39.01
65.95,35.39,69.05,61.66,21.98
64.23,34.07,73.63,54.84,21.98
76.38,28.07,62.59,63.34,13.78
62.20,40.64,62.01,53.66,19.73
66.95,34.56,61.71,53.48,20.65
68.20,34.19,58.24,50.41,26.54
64.14,34.39,65.08,56.74,17.35
63.11,40.36,61.95,52.73,8.68
67.97,27.72,60.78,63.12,18.32
71.09,38.38,48.62,55.06,4.23
70.14,28.99,50.15,62.03,21.98
64.83,22.39,67.83,54.17,29.57
68.57,23.58,48.35,48.89,57.14
50.76,33.07,71.08,51.44,26.15
59.83,41.05,45.39,63.17,9.87
64.24,24.41,60.42,65.23,13.78
70.27,31.03,47.84,49.93,6.83
67.03,33.73,52.16,45.71,2.87
67.63,24.12,55.30,64.22,3.56
55.71,28.88,63.97,58.59,9.87
68.90,17.05,46.81,76.33,22.42
72.29,27.99,41.03,53.80,12.70
54.79,31.79,68.04,39.39,13.24
60.57,28.98,59.26,58.32,2.87
66.25,16.84,60.05,53.70,14.31
62.69,25.97,45.82,64.46,14.83
59.29,14.29,67.27,74.92,6.19
70.06,23.25,53.33,42.09,2.87
65.87,14.29,57.85,63.89,6.19
55.98,15.24,65.57,55.41,26.15
56.11,18.65,60.91,50.99,28.83
54.45,24.30,61.87,50.77,9.87
64.87,9.13,56.91,53.01,31.01
64.45,9.77,69.23,53.92,4.23
64.78,13.64,49.07,60.45,24.53
58.90,10.89,63.64,60.93,18.80
63.87,14.45,57.01,50.30,15.86
62.23,10.86,63.26,49.71,17.35
69.07,20.55,47.85,45.49,2.17
46.17,29.61,61.76,54.06,6.83
71.85,7.98,52.14,57.56,9.87
60.34,11.62,66.02,53.60,9.28
62.28,13.35,60.53,49.36,13.24
65.35,16.65,50.79,58.72,0.00
56.69,21.42,53.53,57.08,7.45
56.45,15.62,67.65,45.74,8.07
46.57,15.70,72.28,51.74,19.73
47.14,22.25,65.82,44.23,18.32
39.71,42.62,48.40,43.12,14.83
61.76,15.76,52.48,45.71,15.86
57.92,20.29,51.01,57.05,4.90
56.96,21.82,48.87,57.71,6.83
55.80,28.48,38.53,63.61,4.90
53.07,23.11,56.79,49.30,6.83
63.85,10.25,53.40,50.16,14.83
60.35,3.01,62.73,71.58,6.83
60.36,12.71,56.83,51.32,8.07
59.62,12.33,54.10,51.93,15.35
50.19,21.92,58.20,46.54,11.59
62.09,5.58,58.89,57.55,11.02
59.38,15.43,54.24,49.56,5.55
63.99,8.47,43.38,50.51,32.73
55.99,22.73,47.47,54.74,0.00
49.58,34.26,41.50,41.90,7.45
52.14,26.57,43.78,51.97,8.07
46.90,17.04,66.48,53.57,4.90
50.12,11.09,71.67,48.81,6.19
41.30,32.95,47.68,44.66,16.36
55.56,11.27,58.93,57.83,2.17
64.13,4.96,56.15,53.93,3.56
57.75,15.85,49.23,56.26,1.46
60.38,16.43,47.28,44.60,6.19
53.58,13.38,52.56,58.11,11.02
61.10,14.77,42.18,58.89,3.56
67.07,4.72,53.71,45.16,5.55
53.46,22.16,46.30,47.10,6.83
56.48,14.79,52.46,50.11,4.23
57.82,6.21,58.38,52.21,11.59
59.71,7.98,57.72,50.85,2.87
63.62,32.28,16.04,46.24,5.55
55.80,19.82,39.47,65.05,0.00
56.71,5.43,63.65,48.32,6.19
59.48,4.18,57.92,56.26,4.23
49.66,19.34,47.90,46.51,17.35
57.36,21.44,42.16,41.95,3.56
61.61,7.63,49.47,53.44,6.19
59.79,6.05,55.73,50.04,6.83
51.56,9.16,55.01,49.50,23.70
47.14,21.27,55.23,46.01,3.56
52.49,8.85,60.93,48.69,9.87
60.80,2.10,55.86,49.86,13.78
59.95,6.78,52.91,50.28,7.45
60.36,2.21,56.74,51.57,10.45
62.51,6.49,41.74,62.54,8.07
61.89,6.83,50.96,47.63,4.90
49.65,23.08,48.98,42.64,0.74
54.45,8.12,60.34,47.44,3.56
59.12,9.14,50.79,48.71,4.23
60.69,1.04,56.57,60.60,0.00
53.37,1.08,64.93,58.20,7.45
51.75,5.91,64.47,53.23,3.56
53.07,8.00,55.81,48.64,15.35
48.87,11.24,63.74,46.71,2.17
50.19,14.63,56.41,34.53,14.83
52.36,5.42,53.92,68.57,6.83
55.78,2.62,52.86,60.28,14.31
60.56,4.70,46.08,66.18,0.00
52.72,5.62,57.16,63.41,0.74
56.10,7.10,55.05,52.36,0.74
61.80,6.18,50.16,48.25,0.00
56.25,7.13,52.07,55.33,2.17
49.99,4.88,59.32,54.59,13.24
52.02,13.43,51.68,45.95,4.90
57.48,3.71,58.75,46.18,2.87
58.79,3.48,54.75,52.16,1.46
60.69,3.88,50.29,51.95,2.87
48.96,18.52,44.87,54.32,0.74
46.79,18.71,52.47,42.66,2.87
50.17,14.51,49.88,49.39,2.87
59.59,9.94,41.80,51.50,2.17
43.09,8.82,65.36,54.48,4.23
58.40,16.31,29.59,57.04,4.90
55.50,3.07,54.50,59.17,0.74
57.61,8.00,46.30,43.96,10.45
55.87,5.71,52.63,49.43,4.23
59.64,25.05,21.64,30.19,14.83
58.91,7.14,49.49,42.47,2.17
57.43,4.88,50.31,51.73,2.17
50.66,9.34,44.80,67.09,4.23
54.45,3.25,55.60,52.39,3.56
52.45,1.37,57.50,48.67,14.83
48.41,17.65,44.02,46.84,6.83
53.67,0.46,60.10,51.72,5.55
24.31,32.53,56.36,46.22,10.45
54.46,6.83,50.09,45.10,10.45
57.83,4.54,53.35,44.67,0.00
