a,b,c,d,e
85.61,92.51,86.32,63.57,97.13
79.13,91.48,78.23,58.39,100.00
83.52,87.81,80.86,57.48,91.96
84.02,84.46,75.07,67.97,93.89
80.50,75.23,80.74,56.97,79.30
74.25,76.23,83.23,55.35,82.92
76.68,68.37,83.16,65.31,47.28
73.75,66.25,81.26,62.95,47.04
71.19,44.96,95.07,73.36,54.12
64.50,45.00,100.00,53.13,49.38
66.20,43.92,91.72,60.98,39.68
64.23,54.33,71.35,65.54,34.80
66.44,43.43,86.67,72.35,20.25
51.70,51.72,87.77,50.16,53.30
67.68,48.17,76.05,65.25,24.18
61.40,52.64,67.51,58.59,49.61
69.59,40.74,77.44,58.72,32.13
69.06,40.86,80.06,56.93,27.00
42.65,54.23,82.66,59.60,44.81
62.95,42.77,86.96,50.92,16.41
48.43,56.83,69.94,59.38,38.80
61.79,47.45,74.17,53.21,24.60
52.39,44.58,71.79,63.34,51.82
67.24,45.58,59.31,58.75,28.91
51.91,43.09,73.11,51.35,61.72
48.18,56.64,71.16,55.15,27.00
50.05,55.82,75.96,46.07,22.04
55.87,47.41,69.88,56.69,31.08
55.81,43.13,72.05,59.50,32.81
57.51,49.25,69.71,56.59,15.91
72.76,32.92,62.05,63.88,23.76
53.81,41.74,73.32,65.58,30.01
71.26,37.15,57.21,64.21,23.76
68.77,18.79,90.54,54.24,6.85
59.67,38.82,66.26,53.53,23.34
68.64,36.45,65.98,50.79,6.22
63.89,29.92,71.34,65.89,13.28
48.88,40.86,71.57,53.49,37.31
62.40,27.78,70.00,78.43,11.06
62.43,31.86,59.58,71.65,22.04
49.19,48.29,65.32,51.66,17.89
58.58,38.28,66.30,57.78,10.48
48.98,43.27,67.55,64.66,12.18
64.77,19.93,89.11,51.53,4.91
50.44,42.26,67.30,56.35,19.32
51.58,38.99,68.65,50.22,27.77
61.35,31.82,66.43,53.88,20.25
55.04,25.59,85.84,54.46,18.37
61.78,34.28,64.91,65.99,2.18
63.78,30.90,63.49,66.63,8.10
60.04,37.02,57.60,53.94,16.41
59.27,34.73,68.77,52.55,4.24
49.93,39.07,68.47,58.60,10.48
49.85,37.31,68.93,55.11,15.39
54.52,29.82,65.95,59.25,25.82
63.04,19.39,66.70,70.04,18.85
58.71,27.32,67.45,51.68,23.34
51.73,37.83,62.64,55.02,18.85
50.61,31.04,70.32,56.38,25.01
64.39,27.23,62.97,57.57,8.10
54.06,34.00,64.82,64.68,7.48
52.04,28.16,79.86,51.62,13.82
64.76,15.70,81.28,56.13,5.57
57.82,27.62,69.75,60.64,8.10
54.37,29.63,70.28,52.70,14.88
54.19,14.23,83.55,75.99,10.48
55.17,19.05,83.56,58.40,10.48
61.83,18.50,64.52,72.16,14.35
58.89,30.78,64.62,55.99,2.18
61.20,12.32,77.33,72.28,8.71
50.51,34.26,66.66,56.15,9.90
56.13,35.12,57.57,58.38,5.57
58.32,30.02,61.65,52.17,11.62
56.74,21.81,65.20,73.06,11.62
55.40,24.41,67.59,67.94,5.57
60.49,19.51,77.03,50.12,2.18
57.48,14.24,63.40,75.44,28.91
54.39,25.23,64.17,63.76,14.35
64.83,18.35,61.13,64.73,7.48
65.15,14.45,63.29,61.56,14.88
47.55,27.51,63.87,65.97,20.70
50.05,30.59,61.27,62.07,12.73
61.71,24.77,57.68,48.43,14.35
59.50,19.37,63.50,59.14,13.28
40.78,28.63,76.11,53.77,17.89
55.37,18.13,58.69,50.17,43.26
39.94,30.10,72.40,58.18,17.89
47.86,28.49,67.68,54.77,11.06
53.36,29.01,59.42,53.63,9.90
55.53,16.31,74.61,51.63,11.62
54.74,29.92,53.67,47.80,18.85
51.21,19.87,79.19,50.61,5.57
47.28,32.31,64.18,52.84,6.85
63.31,14.77,63.13,60.92,4.24
63.32,16.64,63.32,54.77,2.88
49.58,19.08,78.35,47.78,7.48
49.51,26.16,73.81,36.58,6.22
45.31,29.28,64.48,57.03,7.48
48.12,22.64,64.22,52.45,21.15
64.06,10.35,60.07,66.19,1.46
