a,b,c,d,e
79.13,91.48,78.23,58.39,100.00
71.19,44.96,95.07,73.36,67.88
64.50,45.00,100.00,53.13,58.57
66.20,43.92,91.72,60.98,45.77
64.23,54.33,71.35,65.54,48.36
66.44,43.43,86.67,72.35,32.17
67.68,48.17,76.05,65.25,40.93
51.70,51.72,87.77,50.16,67.31
69.59,40.74,77.44,58.72,52.49
69.06,40.86,80.06,56.93,42.90
62.95,42.77,86.96,50.92,41.49
42.65,54.23,82.66,59.60,55.37
48.43,56.83,69.94,59.38,51.16
61.79,47.45,74.17,53.21,35.22
50.05,55.82,75.96,46.07,45.43
51.91,43.09,73.11,51.35,67.20
55.81,43.13,72.05,59.50,46.97
68.64,36.45,65.98,50.79,34.35
68.77,18.79,90.54,54.24,28.80
63.89,29.92,71.34,65.89,33.30
62.40,27.78,70.00,78.43,31.74
58.58,38.28,66.30,57.78,37.34
48.88,40.86,71.57,53.49,50.12
55.04,25.59,85.84,54.46,42.86
48.98,43.27,67.55,64.66,32.53
50.44,42.26,67.30,56.35,37.52
64.77,19.93,89.11,51.53,21.44
61.35,31.82,66.43,53.88,38.17
61.78,34.28,64.91,65.99,19.52
49.93,39.07,68.47,58.60,37.34
59.27,34.73,68.77,52.55,20.97
52.04,28.16,79.86,51.62,39.67
58.71,27.32,67.45,51.68,46.34
63.04,19.39,66.70,70.04,37.19
54.19,14.23,83.55,75.99,37.34
58.89,30.78,64.62,55.99,31.52
61.20,12.32,77.33,72.28,36.09
61.83,18.50,64.52,72.16,40.04
64.39,27.23,62.97,57.57,23.67
54.06,34.00,64.82,64.68,23.23
57.82,27.62,69.75,60.64,23.67
54.52,29.82,65.95,59.25,36.07
64.76,15.70,81.28,56.13,15.90
54.37,29.63,70.28,52.70,28.41
55.17,19.05,83.56,58.40,25.34
58.32,30.02,61.65,52.17,32.14
64.83,18.35,61.13,64.73,35.23
60.49,19.51,77.03,50.12,25.52
65.15,14.45,63.29,61.56,40.41
56.74,21.81,65.20,73.06,26.14
55.40,24.41,67.59,67.94,21.90
57.48,14.24,63.40,75.44,44.23
40.78,28.63,76.11,53.77,42.52
51.21,19.87,79.19,50.61,33.90
63.31,14.77,63.13,60.92,32.97
59.50,19.37,63.50,59.14,27.30
54.74,29.92,53.67,47.80,37.19
39.94,30.10,72.40,58.18,30.52
55.53,16.31,74.61,51.63,26.14
63.32,16.64,63.32,54.77,20.01
64.06,10.35,60.07,66.19,31.02
47.55,27.51,63.87,65.97,14.49
61.71,24.77,57.68,48.43,10.04
49.51,26.16,73.81,36.58,16.35
47.93,15.81,71.24,71.60,20.97
49.65,17.53,72.91,45.77,32.01
49.30,14.93,69.39,56.83,32.97
54.05,11.21,65.27,56.98,37.74
53.29,16.54,65.15,57.16,22.80
55.30,19.43,59.29,50.68,23.23
49.58,19.08,78.35,47.78,5.23
63.30,3.49,63.55,62.15,25.02
56.94,15.43,61.13,49.40,25.02
51.40,22.43,60.04,52.69,19.52
61.30,3.62,64.37,58.87,30.09
41.21,13.84,84.71,55.89,20.97
60.34,7.25,57.87,67.37,24.51
47.73,16.05,69.91,51.65,27.44
48.12,22.64,64.22,52.45,14.81
60.99,8.04,51.90,73.35,20.01
50.59,14.06,70.94,50.10,18.00
53.40,21.81,60.13,53.42,4.35
41.22,30.31,51.98,52.25,31.19
51.13,17.39,53.26,62.10,25.74
43.91,19.82,69.71,49.16,20.01
47.86,26.71,54.55,50.95,14.81
41.99,13.78,72.66,50.52,34.80
54.01,15.61,56.44,47.85,26.97
43.21,23.06,64.69,54.60,12.52
43.80,14.83,68.44,58.31,23.67
57.64,9.98,49.27,61.36,31.74
61.18,6.64,56.44,57.30,19.02
52.68,13.32,63.79,48.04,18.51
50.80,4.09,67.06,63.36,28.35
57.91,3.20,60.00,76.49,10.41
48.86,15.05,60.91,55.96,20.01
49.40,15.25,60.65,56.03,18.00
47.99,9.74,60.76,62.23,32.17
39.29,12.72,73.89,59.54,25.52
46.46,15.08,60.13,61.98,21.90
